15.86	,0.43,	0.032863,	578.4,	10.24
3.93	,0.46,	0.015728,	293.4,	10.422
2.74	,0.42,	0.012999,	237.6,	10.891
8.45	,0.32,	0.029284,	380.9,	11.327
2.91	,0.37,	0.040191,	281.6,	11.506
10.71	,0.97,	0.013356,	237.1,	10.321
10.99	,1.36,	0.018126,	449.4,	11.986
15.45	,0.66,	0.012806,	317.5,	10.265
3.13	,0.62,	0.015808,	266.7,	10.728
8.51	,0.35,	0.02449	,	269.6,	11.015
11.05	,0.93,	0.010885,	239.6,	10.211
7.26	,0.3	,0.027012	,	355.3,	11.095
15.9	,0.3	,0.02448	,	640.3,	11.489
5.27	,0.35,	0.022706,	278	,	10.615
24.53	,0.69,	0.018349,	495.6,	10.712
12.75	,1	,0.017335	,	244.3,	11.045
6.36	,0.5	,0.04281	,	453.5,	12.215
6.15	,1	,0.020781	,	161.2,	10.935
13.27	,0.46,	0.016281,	299.7,	10.566
7.29	,1.07,	0.014043,	221	,	11.11
8.83	,0.49,	0.020652,	317.6,	10.611
12.54	,0.29,	0.017345,	234.9,	10.223
26.72	,0.48,	0.018176,	348.3,	11.493
7.82	,0.81,	0.015611,	265.5,	10.843
7.25	,0.12,	0.013226,	162.2,	10.346
8.24	,0.5	,	0.0192	,	359.4,	10.445
14.52	,0.74,	0.0139	,	386.7,	10.563
4.07	,0.56,	0.019613,	302.4,	10.02
1.31	,0.13,	0.036098,	0	,	11.451
0.75	,0.11,	0.042996,	0	,	11.741
10.05	,0.51,	0.017361,	257	,	10.651
13.83	,0.82,	0.016151,	166.6,	10.969
10.54	,0.62,	0.017401,	221.3,	9.717
27.86	,0.75,	0.011415,	269.7,	10.31
9.99	,0.51,	0.021391,	378.4,	11.009
13.79	,0.33,	0.016317,	252.4,	11.022
2.45	,0.32,	0.044601,	277.4,	11.602
4.25	,0.5	,0.027422	,	317.5,	11.261
37.6	,1.01,	0.005365,	205.2,	10.054
7.01	,0.54,	0.016531,	316.3,	10.57
5.38	,0.46,	0.024444,	334.3,	10.566
4.28	,0.48,	0.028924,	202.6,	10.403
8.94	,0.67,	0.017139,	229.6,	10.364
23.54	,0.28,	0.014267,	414.1,	9.665
10.26	,0.24,	0.018483,	340.5,	10.867
